Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
HYH,"Halyard Health, Inc.",36.49,$1.7B,2014,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/hyh
YDKN,Yadkin Financial Corporation,25.75,$1.33B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ydkn
ATNM,"Actinium Pharmaceuticals, Inc.",1.66,$79.21M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
OVLY,Oak Valley Bancorp (CA),10.03,$81.12M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ovly
GPT^A,Gramercy Property Trust Inc.,26.8074,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gpt^a
AGND,WisdomTree Barclays U.S. Aggregate Bond Negative Duration Fund,42.01,$12.6M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agnd
PAGG,PowerShares Global Agriculture Portfolio,23.9101,$23.91M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pagg
ADMP,Adamis Pharmaceuticals Corporation,2.61,$39.42M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
CTU,Qwest Corporation,26.482,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctu
WWE,"World Wrestling Entertainment, Inc.",20.33,$1.55B,n/a,Consumer Services,Movies/Entertainment,http://www.nasdaq.com/symbol/wwe
BFAM,Bright Horizons Family Solutions Inc.,66.3,$3.9B,2013,Miscellaneous,Other Consumer Services,http://www.nasdaq.com/symbol/bfam
SRC,"Spirit Realty Capital, Inc.",13.22,$6.34B,2013,Consumer Services,Building operators,http://www.nasdaq.com/symbol/src
GDF,"Western Asset Global Partners Income Fund, Inc.",9.05,$141.06M,1993,n/a,n/a,http://www.nasdaq.com/symbol/gdf
NAV,Navistar International Corporation,12.73,$1.04B,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/nav
CHEK,Check-Cap Ltd.,2.35,$28.67M,2015,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/chek
HH,"Hooper Holmes, Inc.",1.72,$14.7M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hh
BKE,"Buckle, Inc. (The)",25.33,$1.23B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/bke
WYIGW,JM Global Holding Company,0.18,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/wyigw
GFED,"Guaranty Federal Bancshares, Inc.",16.4,$72.69M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/gfed
