ZIP,returns,total,farmers
90293,7090.0,719613.0,0.0
90301,16320.0,527006.0,0.0
90302,13320.0,485724.0,0.0
90303,11230.0,371731.0,0.0
90304,11330.0,323264.0,0.0
90305,8050.0,399010.0,0.0
90401,4260.0,976171.0,0.0
90402,5510.0,2311531.0,0.0
90403,14470.0,1785372.0,0.0
90404,11180.0,1026364.0,0.0
90405,15130.0,1900835.0,0.0
90501,19800.0,1132683.0,0.0
90502,8420.0,467628.0,0.0
90503,20830.0,1694427.0,0.0
90504,16320.0,1001174.0,0.0
90505,17530.0,1590809.0,0.0
90601,14600.0,860635.0,0.0
90602,10450.0,497882.0,0.0
90603,9680.0,688711.0,0.0
90604,17580.0,870466.0,0.0
90605,17920.0,930431.0,0.0
90606,14210.0,594151.0,0.0
90620,21530.0,1136738.0,0.0
90621,15500.0,711877.0,0.0
90623,7370.0,524242.0,0.0
90630,23170.0,1651678.0,0.0
90631,30780.0,1842583.0,40.0
90638,21410.0,1331243.0,0.0
90640,28070.0,1185590.0,0.0
90650,44600.0,1821160.0,0.0
90660,27940.0,1105732.0,0.0
90670,7600.0,394340.0,0.0
90680,13270.0,511672.0,0.0
90701,7250.0,322581.0,0.0
90703,23940.0,2067985.0,0.0
90706,33030.0,1384268.0,0.0
90710,11780.0,589499.0,0.0
90712,15130.0,986872.0,0.0
90713,13770.0,932224.0,0.0
90715,9230.0,435009.0,0.0
90716,5790.0,170723.0,0.0
90717,10190.0,568378.0,0.0
90720,10880.0,1083464.0,0.0
90723,22900.0,744166.0,0.0
90731,25660.0,1290117.0,0.0
90732,10200.0,875149.0,0.0
90740,13380.0,1177867.0,20.0
90744,21550.0,727831.0,0.0
90745,26570.0,1224408.0,0.0
90746,13420.0,749325.0,0.0
90755,5720.0,376268.0,0.0
90802,19390.0,974956.0,0.0
90803,17970.0,1875209.0,0.0
90804,17460.0,682716.0,0.0
90805,39240.0,1346380.0,0.0
90806,18060.0,659447.0,0.0
90807,16250.0,1259783.0,0.0
90808,19260.0,1650100.0,0.0
90810,16000.0,617223.0,0.0
90813,21100.0,542439.0,0.0
90814,9970.0,691908.0,0.0
90815,18770.0,1558229.0,30.0
91001,17170.0,1494812.0,0.0
91006,14430.0,1509929.0,0.0
91007,14140.0,1196753.0,0.0
91008,490.0,89739.0,0.0
91010,11770.0,608263.0,0.0
91011,9410.0,2360954.0,20.0
91016,18970.0,1223839.0,0.0
91020,3590.0,226127.0,0.0
91024,5350.0,599034.0,0.0
91030,12270.0,1428876.0,0.0
91040,9670.0,629593.0,0.0
91042,12160.0,649150.0,0.0
91101,9510.0,894221.0,0.0
91103,11800.0,871925.0,0.0
91104,16290.0,1077628.0,0.0
91105,6370.0,1252283.0,20.0
91106,11610.0,1334512.0,0.0
91107,16050.0,1610065.0,0.0
91108,6280.0,1716255.0,0.0
91201,10070.0,561880.0,0.0
91202,10270.0,764684.0,0.0
91203,6330.0,333853.0,0.0
91204,6710.0,265191.0,0.0
91205,15840.0,615754.0,0.0
91206,14740.0,1007314.0,0.0
91207,4780.0,585662.0,0.0
91208,7600.0,813461.0,0.0
91210,200.0,26190.0,0.0
91214,13970.0,1174675.0,0.0
91301,12430.0,1642980.0,0.0
91302,11850.0,2860809.0,20.0
91303,12190.0,467931.0,0.0
91304,22520.0,1325184.0,0.0
91306,20650.0,935531.0,0.0
91307,11510.0,1137319.0,0.0
91311,18120.0,1454221.0,0.0
91316,13590.0,1541480.0,0.0
91320,20850.0,2147999.0,20.0
91321,15160.0,897982.0,0.0
91324,12570.0,802653.0,0.0
91325,14700.0,949399.0,0.0
91326,16000.0,1602705.0,0.0
91331,41580.0,1327510.0,0.0
91335,33000.0,1346410.0,0.0
91340,14330.0,491817.0,0.0
91342,39080.0,1725431.0,0.0
91343,24940.0,1121888.0,0.0
91344,24250.0,1680271.0,0.0
91345,8500.0,374018.0,0.0
91350,16040.0,1257291.0,0.0
91351,15130.0,803642.0,0.0
91352,20250.0,804056.0,0.0
91354,13250.0,1255486.0,0.0
91355,15460.0,1354010.0,0.0
91356,13800.0,1609489.0,0.0
91360,20280.0,1652808.0,30.0
91361,10410.0,1775730.0,30.0
91362,17530.0,2755824.0,30.0
91364,13110.0,1942284.0,0.0
91367,20270.0,1915969.0,20.0
91377,6780.0,817612.0,0.0
91381,8380.0,1029930.0,0.0
91384,10120.0,748479.0,0.0
91387,18940.0,1378456.0,20.0
91390,8430.0,767010.0,30.0
91401,17660.0,994516.0,0.0
91402,27480.0,854146.0,0.0
91403,13360.0,1798814.0,0.0
91405,21730.0,741733.0,0.0
