Price,Bedrooms,Bathrooms,Size,Santa Maria-Orcutt (0/1),Paso Robles (0/1),Atascadero (0/1),Nipomo (0/1),Arroyo Grande (0/1),Lompoc (0/1),Los Osos (0/1),Grover Beach (0/1), Paso Robles (0/1),San Miguel (0/1)
369900.0,4,2,2161,0,1,0,0,0,0,0,0,0,0
699000.0,10,11,4905,0,0,1,0,0,0,0,0,0,0
514900.0,4,3,2035,0,0,0,0,1,0,0,0,0,0
165000.0,3,2,1050,1,0,0,0,0,0,0,0,0,0
750000.0,4,4,3387,0,0,1,0,0,0,0,0,0,0
233000.0,4,2,1650,1,0,0,0,0,0,0,0,0,0
339900.0,3,2,1325,0,0,0,0,0,0,0,0,1,0
239000.0,4,2,1240,0,1,0,0,0,0,0,0,0,0
130000.0,3,2,1022,1,0,0,0,0,0,0,0,0,0
164900.0,3,1,965,0,0,0,0,0,0,0,0,0,1
399000.0,3,3,1772,0,0,0,0,1,0,0,0,0,0
820000.0,4,4,3387,0,0,1,0,0,0,0,0,0,0
189000.0,3,3,1530,1,0,0,0,0,0,0,0,0,0
285000.0,3,2,1120,0,0,0,0,0,0,1,0,0,0
259000.0,4,3,1900,1,0,0,0,0,0,0,0,0,0
235000.0,3,3,1541,1,0,0,0,0,0,0,0,0,0
195000.0,3,2,1300,1,0,0,0,0,0,0,0,0,0
309000.0,3,3,1685,0,0,1,0,0,0,0,0,0,0
189900.0,3,2,1253,1,0,0,0,0,0,0,0,0,0
281900.0,4,3,2357,1,0,0,0,0,0,0,0,0,0
249000.0,3,2,1062,1,0,0,0,0,0,0,0,0,0
209000.0,3,2,1520,1,0,0,0,0,0,0,0,0,0
150000.0,3,2,1316,1,0,0,0,0,0,0,0,0,0
289000.0,3,1,1005,0,0,0,0,1,0,0,0,0,0
389000.0,3,2,1998,0,1,0,0,0,0,0,0,0,0
345000.0,3,2,1498,0,0,0,0,0,0,0,0,0,1
314000.0,4,3,1794,0,1,0,0,0,0,0,0,0,0
498000.0,4,3,2341,0,0,0,1,0,0,0,0,0,0
559000.0,3,3,2628,1,0,0,0,0,0,0,0,0,0
560000.0,3,3,2344,0,0,1,0,0,0,0,0,0,0
650000.0,3,3,2703,0,0,0,1,0,0,0,0,0,0
169900.0,3,2,1300,1,0,0,0,0,0,0,0,0,0
259000.0,4,3,1857,1,0,0,0,0,0,0,0,0,0
164900.0,3,2,1092,1,0,0,0,0,0,0,0,0,0
150000.0,2,2,896,0,0,0,0,0,0,1,0,0,0
191100.0,3,1,1200,1,0,0,0,0,0,0,0,0,0
290000.0,3,3,1733,0,0,1,0,0,0,0,0,0,0
399000.0,4,3,2300,1,0,0,0,0,0,0,0,0,0
199900.0,3,3,1950,1,0,0,0,0,0,0,0,0,0
235000.0,3,3,1261,0,0,1,0,0,0,0,0,0,0
949000.0,5,4,5200,0,0,1,0,0,0,0,0,0,0
110000.0,2,1,1000,1,0,0,0,0,0,0,0,0,0
900000.0,4,4,3962,0,0,1,0,0,0,0,0,0,0
296800.0,4,2,2125,0,0,0,1,0,0,0,0,0,0
595000.0,3,2,1750,0,0,0,0,1,0,0,0,0,0
185000.0,3,2,1062,0,0,0,0,0,0,0,0,0,1
270000.0,3,3,1900,1,0,0,0,0,0,0,0,0,0
