,County Name,State,ObamaVotes.12,RomneyVotes.12,votes_dem.16,votes_gop.16,total_votes.16,per_dem.16,per_gop.16,diff.16,per_point_diff.16,bushVote.04,kerryVote.04,Total.Precincts.08,Precincts.Reporting.08,Obama.08,McCain.08,Other.08,name,x_coord,y_coord,state_abbr,total_population,white_population,white_population_error,black_population,black_population_error,total_households,average_household_size,average_family_size,fertility,enrolled_hs,enrolled_higher_ed,edu_less_than_9th,edu_hs_no_diploma,edu_hs_diploma,edu_college_no_degree,edu_college_bachelors,edu_college_graduate_professional,in_labor_force_yes,in_labor_force_no,public_transportation_to_work,working_at_home,occupation_management_business_science_arts,income_less_than_10000,income_10000_to_24999,income_25000_to_49999,income_50000_to_99999,income_100000_to_149999,income_150000_to_199999,income_more_than_200000
856,effingham,georgia,4941,15591,4851,17865,23395,0.2073519983,0.7636247061,285,1780,12451,3597,23,23,4936,15230,132,Effingham,-81.34348,32.370383,GA,50513,42013,414,6668,316,17480,2.87,3.24,801,3609,2364,1464,3491,13177,6586,3250,1653,25307,12462,138,770,6300,1203,2191,4025,6760,2461,2461,248
857,effingham,illinois,3855,12491,3071,13613,17428,0.1762106954,0.7810993803,58,1979,11769,4382,37,37,5256,11313,250,Effingham,-88.588341,39.06448,IL,34232,33368,218,NA,NA,13462,2.52,3.11,557,2132,1481,1115,1276,8250,4526,3272,1222,18262,8260,44,874,4959,803,2555,3436,4630,1391,1391,268
858,elbert,colorado,3542,10148,3056,11536,15689,0.1947861559,0.735292243,2552,1708,8292,3103,18,18,3775,9030,274,Elbert,-104.128464,39.282065,CO,22712,21518,292,NA,NA,8135,2.79,3.14,177,1772,846,114,497,4853,3980,3057,1493,12931,4778,35,1137,4760,159,608,1222,3258,1727,1727,471
859,elbert,georgia,3179,4857,2507,5269,7912,0.3168604651,0.665950455,1157,892,4618,2979,13,13,3366,4868,73,Elbert,-82.839768,34.114998,GA,20421,13615,522,6152,196,7733,2.62,3.16,374,1362,760,1353,2322,5855,2011,846,456,9338,6771,1,194,1950,748,2166,2675,1649,346,346,41
860,eldorado,california,29047,42294,28026,37286,69852,0.4012197217,0.5337857184,2652,121,34514,21478,150,150,33010,40512,1482,El Dorado,-120.527585,38.775488,CA,179053,157699,16,NA,NA,68394,2.6,3.02,1803,11221,11642,2944,6065,28918,35042,25947,12514,92541,50107,1219,6159,32326,2483,7031,14117,22355,12320,12320,4836
861,elk,kansas,277,1040,160,1048,1259,0.1270849881,0.832406672,2607,2295,1114,367,11,11,359,1035,29,Elk,-96.244716,37.456649,KS,2930,2780,340,NA,NA,1340,2.09,2.5,21,145,103,118,148,777,535,252,121,1395,1039,0,45,444,87,424,427,327,38,38,19
862,elk,pennsylvania,5144,7099,3637,9704,13854,0.2625234589,0.7004475242,2126,1265,7813,6578,32,32,6910,6252,292,Elk,-78.650566,41.418708,PA,32480,32063,569,NA,NA,13743,2.33,2.86,343,1895,1149,651,1744,12070,3067,2650,1137,16594,9867,130,206,3558,894,2539,4642,4303,999,999,165
863,elkhart,indiana,24376,42348,20667,41810,65187,0.3170417415,0.6413855523,855,805,42933,17947,110,110,31289,39344,617,Elkhart,-85.858939,41.59645,IN,196855,166717,125,10887,730,70035,2.78,3.26,3230,11467,8285,9170,15397,44790,23876,14869,7348,102717,43820,359,2622,23434,4114,11968,21008,23631,6255,6255,1493
864,elko,nevada,3510,12013,3400,13542,18545,0.1833378269,0.73022378,13,1737,11935,3047,41,41,4537,10958,509,Elko,-115.354139,41.131015,NV,47707,42006,731,NA,NA,17324,2.73,3.28,896,3431,2111,1923,2601,9647,7807,3102,1494,25442,9964,2143,375,6077,786,1864,3465,7054,3293,3293,304
865,elliott,kentucky,1186,1126,740,2000,2847,0.2599227257,0.7024938532,246,1287,871,2064,7,7,1535,902,78,Elliott,-83.097943,38.119692,KY,7493,7140,1132,NA,NA,2546,2.54,3.11,81,433,177,905,659,2208,807,261,107,2382,3689,20,65,531,524,774,694,446,62,62,0
866,ellis,kansas,3464,9057,2669,8311,11660,0.2289022298,0.7127787307,2028,1463,7683,3938,31,31,3917,8037,219,Ellis,-99.314761,38.916464,KS,28039,26555,405,NA,NA,11721,2.24,2.89,375,1228,4992,520,871,4479,3912,3649,1945,17081,5776,59,563,5176,1130,2315,3228,3486,1111,1111,259
867,ellis,oklahoma,226,1575,155,1610,1826,0.0848849945,0.8817086528,416,2460,1685,395,10,10,282,1627,0,Ellis,-99.750152,36.214555,OK,4041,3866,528,NA,NA,1688,2.39,2.89,39,247,78,84,267,1108,668,475,195,2039,1171,7,112,640,120,364,482,500,152,152,28
868,ellis,texas,13803,39353,16197,44807,63064,0.256834327,0.710500444,1206,1333,34577,11618,46,46,15315,38046,345,Ellis,-96.793045,32.350178,TX,143502,114958,83,12500,605,48503,2.92,3.28,2054,9886,7728,5970,9137,27134,21706,13277,5340,73527,32977,401,2382,21804,2175,6509,10530,17692,7758,7758,1655
869,ellsworth,kansas,696,1905,515,1933,2626,0.1961157654,0.7361005331,382,1707,2246,794,26,26,838,1996,64,Ellsworth,-98.204928,38.695772,KS,6476,5946,482,NA,NA,2564,2.27,2.86,57,363,225,120,321,1929,1091,639,286,3281,2196,11,226,997,154,556,805,844,119,119,38
870,elmore,alabama,8940,26223,8436,27619,36905,0.2285869123,0.7483809782,760,1626,22056,6471,32,32,8268,25695,192,Elmore,-86.138157,32.59991,AL,77650,59044,358,15611,306,27762,2.55,2.98,1060,4871,3422,2565,5816,18211,11350,6889,3582,36203,25016,52,766,10964,1717,4272,7129,9649,3515,3515,541
871,elmore,idaho,2513,5227,1814,5816,8519,0.2129357906,0.6827092382,1616,1395,5940,1931,19,19,2523,5571,178,Elmore,-115.465496,43.3427,ID,26669,22812,675,NA,NA,9522,2.75,3.17,534,1702,1890,982,1434,4263,4773,1610,666,13814,6189,34,739,2589,423,1643,3310,3131,741,741,86
872,elpaso,colorado,104989,163819,105807,176506,313273,0.3377469491,0.5634255107,2303,442,157594,75558,387,387,104670,155914,3823,El Paso,-104.521087,38.837901,CO,599988,486171,302,35891,39,227151,2.56,3.12,9516,34717,47942,9404,19032,85376,94859,81874,49774,322520,136683,3766,16485,109606,13326,31966,54992,76087,32049,32049,8400
873,elpaso,texas,112273,56517,145509,54567,210458,0.6913921067,0.2592773855,2634,1238,73046,94879,171,171,121589,61598,1149,El Paso,-106.241145,31.76932,TX,772280,603386,656,22523,994,242943,3.13,3.65,13000,58646,64784,81533,49336,108655,96543,58148,28769,340281,224195,5711,9001,86753,28201,57732,68951,60358,18825,18825,3976
874,emanuel,georgia,2919,5086,2433,5330,7838,0.3104108191,0.6800204134,1226,979,4665,2774,14,14,3068,5110,56,Emanuel,-82.304173,32.586937,GA,22348,14031,440,7553,330,8265,2.6,3.12,389,1328,824,1327,2645,5648,2556,774,618,9451,7789,15,362,2201,943,2507,2506,1676,369,369,91
875,emery,utah,569,3743,379,3402,4263,0.0889045273,0.7980295567,1282,2307,3772,830,13,13,965,3338,115,Emery,-110.690249,38.990178,UT,10728,10118,117,NA,NA,3779,2.82,3.22,186,731,315,109,503,2489,1720,597,241,4917,2914,0,261,1273,172,497,1269,1480,297,297,15
876,emmet,iowa,2087,2499,1356,3121,4707,0.2880815806,0.6630550244,657,1005,2686,2395,12,12,2565,2366,65,Emmet,-94.669178,43.378084,IA,10389,9731,175,NA,NA,4286,2.3,2.79,121,578,483,401,525,2414,1597,938,344,5703,2606,5,269,1395,229,1005,1242,1333,337,337,87
877,emmet,michigan,7225,10253,6972,10616,18774,0.3713646532,0.5654628742,1505,324,10329,6845,20,20,8515,9315,320,Emmet,-84.98067,45.583079,MI,32806,30597,964,NA,NA,13833,2.32,2.86,231,1937,2054,494,1143,6603,5477,4232,2453,17757,8465,32,934,5273,810,2432,3795,4654,1201,1201,590
